position,token,token_length,frequency
846,ក្បួនដង្ហែរព្រះសូរ្យវរ្ម័នទី,28,1
847,២,1,20
848,បន្ទាប់មក,9,1
849,នរក,3,1
850,៣២,2,2
851,និងស្ថានសួគ៌,12,1
852,៣៧,2,1
853,នៃទេវកថាហិណ្ឌូ។នៅលើថែវខាងកើតគឺជាមួយ,35,1
854,ក្នុងចំណោមសាច់រឿងគួរអោយសរសើរខ្លាំងបំផុត,39,1
855,ការកូរសមុទ្រទឹកដោះ,18,1
856,ដែលបង្ហាញ,9,1
857,អសុរា,5,2
858,៩២,2,1
859,និង,3,44
860,ទេវតា,5,1
861,៨៨,2,1
862,អង្គដែលយកនាគវាសុកិដើម្បីកូរសមុទ្រក្រោមការដឹកនាំរបស់ព្រះវិស្ណុ,61,1
863,មែននិការាប់ឃើញត្រឹមតែ,21,1
864,៩១,2,1
865,អសុរា,5,2
866,និងពន្យល់ចំនួនអសមាមាត្រដូចជាតំណាងអោយចំនួនថ្ងៃចាប់ពីសុរិយដ្ឋានសិសិររដូវ,70,1
867,ដល់សមរាត្រីរដូវរំហើយ,20,1
868,និងចាប់ពីសមរាត្រីដល់សុរិយដ្ឋាននិទាឃរដូវ,39,1
869,។,1,68
870,វាត្រូវបានបន្តបន្ទាប់ដោយព្រះវិស្ណុដែលកំពុងតែកម្ចាយពួកអសុរា,58,1
871,ការបន្ថែមនូវសតវត្សទី,20,1
872,១៦,2,7
873,។,1,68
874,ថែវខាងជើងបង្ហាញនូវជ័យជម្នះរបស់ក្ឫស្នាលើពនៈ,42,1
875,ដែលយោងទៅតាមលោកហ្គ្លេសហ្សឹ,25,1
876,ទឹកដៃនេះគឺអាក្រក់បំផុត,22,1
877,និង,3,44
878,សមរភូមិរវាងពួកព្រះហិណ្ឌូនិងពួកអសុរា។,36,1
879,សាលាសំណាក់ខាងជើងឆៀងខាងលិច,25,1
880,និង,3,44
881,ជ្រុងខាងត្បូងឆៀងខាងលិច,22,1
882,ទាំងពីររំលេចនូវសាច់រឿងតិចតួចមែនទែន,34,1
883,ភាគខ្លះមិនច្បាស់លាស់,20,1
884,ប៉ុន្តែភាគច្រើនមកពីរឿងរាមាយណៈ,29,1
885,រឺ,2,13
886,ជីវិតរបស់ក្ឫស្នា។,17,1
887,ចម្លាក់លៀនស្រាលនៃការកូរសមុទ្រទឹកដោះដែលបង្ហាញព្រះវិស្ណុនៅចំកណ្ដាល,64,1
888,អវតារអណ្ដើករបស់ទ្រង់,20,1
889,ថ្មមួយចំនួន,11,1
890,រលោងដូចជាថ្មពពាលដែលបានប៉ូលាហើយ,30,1
891,ត្រូវបានដាក់ដោយគ្មានបាយអជាមួយតំណយ៉ាងតឹងដែលជួនកាលពិបាករក។,56,1
892,ដុំថ្មបួនជ្រុងៗជាច្រើនត្រូវបានដាក់រួមគ្នាដោយតំណប្រហោងដំណាប់និងពន្លូញក្នុងករណីខ្លះ,81,1
893,កាលណោះដែរ,9,1
894,ក្នុងករណីផ្សេងៗទៀត,18,1
895,បានប្រើកន្ទុយលលក,16,1
896,និងទំនាញដី។,11,1
897,ដុំថ្មខ្លះត្រូវបានដាក់នៅកន្លែងដោយក្ដីសន្និដ្ឋានតាមការផ្សំគ្នានៃពួកដំរី,70,1
898,ពួរស្រកីជក់,11,1
899,រ៉ក,3,1
900,និងការធ្វើរន្ទាឫស្សី។,21,1
901,ហ្រង់រី,7,1
902,មហ៊តបានកត់សម្គាល់ថាភាគច្រើននៃដុំថ្មមានរន្ធ,42,1
903,២,1,20
904,៥,1,8
905,ស,1,7
906,ម,1,14
907,ជាអង្កត់ផ្ចិត,13,1
908,និង,3,44
909,ជម្រៅ,5,1
910,៣,1,5
911,ស,1,7
912,ម,1,14
913,ជាមួយរន្ធជាច្រើនទៀតលើដុំថ្មបួនជ្រុងធំៗ។,39,1
914,ពួកអ្នកប្រាជ្ញខ្លះបានអោយយោបល់ថាទាំងនេះត្រូវបានប្រើចូលរួមគ្នាជាមួយដំបងដែកជាច្រើន,79,1
915,ប៉ុន្តែអ្នកផ្សេងទៀតអះអាងថារបស់នឹងត្រូវបានប្រើដើម្បីកាន់ស្នៀតជាបណ្ដោះអាសន្នដើម្បីជួយហត្ថកិច្ចថ្មទាំងនោះចូលទៅកាន់កន្លែង។បូជនីយដ្ឋាននេះត្រូវបង្កើតចេញដោយចំនួនដ៏សម្បើមនៃថ្មភក់,170,1
916,ច្រើនដូចគ្នានឹងសាជីរបស់ខាបផ្វ្រានៅអេហ៊្សីប,42,1
917,ជា,2,1
918,៥,1,8
919,លានតោន,6,2
920,។,1,68
921,ថ្មភក់នេះត្រូវបានដឹកជញ្ជូនពីភ្នំគូលែន,37,1
922,កន្លែងយកថ្មប្រហែល,17,1
923,25,2,1
924,miles,5,1
925,40,2,1
926,km,2,1
927,ទៅទិសឦសាន។,10,1
928,ថ្មនេះតាមសេចក្ដីសន្និដ្ឋានត្រូវបានដឹកជញ្ជូនដោយក្បូនតាមបណ្ដោយស្ទឹងសៀមរាប។,72,1
929,រឿងនេះនឹងត្រូវបានធ្វើឡើងជាមួយការប្រុងប្រយ័ត្នដើម្បីចៀសវាងការក្រឡាប់ក្បូនរួមជាមួយទម្ងន់មួយចំនួនធំ។,97,1
930,វិស្វករទំនើបម្នាក់បានប៉ាន់ប្រមាណថាវានឹងចំណាយពេល,47,1
931,៣០០,3,1
932,ឆ្នាំដើម្បីបង្ហើយអង្គរវត្តសព្វថ្ងៃនេះ។,38,1
933,ប៉ុន្តែបូជនីយដ្ឋាននេះត្រូវបានចាប់ផ្ដើមភ្លាម,43,1
934,បន្ទាប់ពីសូរ្យវរ្ម័នឡើងសោយរាជ្យ,31,1
935,និងត្រូវបានបញ្ចប់រយៈពេលខ្លីក្រោយការសោយទីវង្គតរបស់ទ្រង់,54,1
936,មិនច្រើនជាង,11,1
937,៤០,2,1
938,ឆ្នាំ។,6,1
939,យ៉ាងជាក់ស្ដែងផ្ទៃខាងក្រៅទាំងអស់,31,1
940,សសរ,3,2
941,ធ្នឹម,5,2
942,សូម្បីតែដំបូលតក៏ត្រូវបានឆ្លាក់ដែរ។,34,1
943,មានចម្ងាយដ៏វែងនៃចម្លាក់លៀនដែលរៀបរាប់សាច់រឿងចេញពីអក្សរសិល្ប៍ឥណ្ឌារួមមានស្នែងឯក,77,1
944,ឥន្ទ្រីយសីហៈ,12,1
945,នាគមានស្លាបកំពុងអូសទាញរទេះដូចគ្នានឹងពួកអ្នកចម្បាំងតាមពីក្រោយមេកើយដែលជិះដំរី,75,1
946,និងនារីរបាំនៅស្ថានសួគ៌ដែលមានកេសាបថយ៉ាងផ្ចិតផ្ចង់។,49,1
947,ជញ្ជាំងថែវតែឯងត្រូវបានតុបតែងជាមួយចម្លាក់លៀនស្រាលស្ទើរតែ,55,1
948,១០០០,4,1
949,មាត្រការ៉េ។,11,1
950,រន្ធជាច្រើនលើកំពែងអង្គរខ្លះបញ្ជាក់ថាប្រហែលត្រូវបានគេតុបតែងជាមួយបន្ទះសំរឹទ្ធ។,76,1
951,ទាំងនេះត្រូវបានគាស់កកាយយ៉ាងច្រើននៅសម័យកាលបុរាណ,46,1
952,និង,3,44
953,បានជាគោលដៅដំបូងសម្រាប់ពួកចោរ។,29,1
954,គ្រាដែលកំពុងជីកកកាយខជុរាហោ,26,1
955,អ៊ែលឡិច,7,1
956,អិវ៉ឹន,6,1
957,ជាងថ្មនិងជាងចម្លាក់ម្នាក់,25,1
958,បានកសាងឡើងវិញនូវរូបចម្លាក់ថ្មមួយខាងក្រោម,40,1
959,4,1,2
960,feet,4,1
961,1,1,1
962,2,1,3
963,m,1,1
964,នេះបានចំណាយពេល,14,1
965,៦០,2,2
966,ថ្ងៃដើម្បីឆ្លាក់។,17,1
967,រ៉ចចឺរ,6,1
968,ហបគីន្ស៍,8,1
969,និង,3,44
970,ម៉ាខ,4,1
971,ឡេហណឺបានធ្វើការពិសោធផងដែរដើម្បីគាស់យកថ្មកំបោរដែលបានចំណាយអ្នកគាស់កកាយ,68,1
972,១២,2,13
973,នាក់,4,3
974,២២,2,1
975,ថ្ងៃ,4,3
976,ដើម្បីគាស់កកាយថ្មប្រហែល,23,1
977,៤០០,3,1
978,តោន។,4,1
979,កម្លាំងពលកម្មដើម្បីគាស់កកាយ,27,1
980,ដឹកជញ្ជូន,9,1
981,ឆ្លាក់និងបន្តុបថ្មជាច្រើនត្រូវបានឈានដល់រាប់ពាន់រួមមានសិល្បៈករជំនាញខ្ពស់ៗជាច្រើននាក់។,84,1
982,ជំនាញទាំងនេះបានទាមទារឱ្យឆ្លាក់រូបចម្លាក់ទាំងនេះបានអភិវឌ្ឍរាប់រយឆ្នាំតាំងពីដំបូងឡើយ,82,1
983,ដូចដែលបានបង្ហាញតាមវត្ថុបុរាណខ្លះដែលត្រូវបានចុះកាលបរិច្ឆេទទៅសវត្សទីប្រាំពីរ,74,1
984,មុនពេលខ្មែរបានឡើងអំណាច។,23,1
985,ការស្ទាបស្ទង់ខាងបុរាណវិទ្យាឥណ្ឌាបានបន្តការស្ដារស្នាដៃលើប្រាសាទនេះរវាង,69,1
986,១៩៨៦,4,1
987,និង,3,44
988,១៩៩២,4,3
989,។,1,68
990,ចាប់តាំងពីទសវត្សឆ្នាំ,21,1
991,១៩៩០,4,2
992,អង្គរវត្តបានមើលឃើញនូវកិច្ចប្រឹងប្រែងអភិរក្សបន្ត,47,1
993,និងការកើនឡើងយ៉ាងខ្លាំងខាងទេសចរណ៍។,33,1
994,ប្រាសាទនេះគឺជាផ្នែកនៃទីកន្លែងកេរដំណែលពិភពលោករបស់អង្គរ,53,1
995,បានបង្កើតឡើងនៅឆ្នាំ,19,1
996,១៩៩២,4,3
997,ដែលបានផ្ដល់នូវការអោយមូលនិធិខ្លះ,31,1
998,និងបានជម្រុញចិត្តឲ្យរដ្ឋាភិបាលកម្ពុជាការពារទីកន្លែងនេះ។,55,1
999,គម្រោងការអភិរក្សអប្សរាអាល្លឺម៉ង់,32,1
1000,គ,1,10
1001,អ,1,7
1002,អ,1,7
1003,អ,1,7
1004,ឬ,1,3
1005,GACP,4,1
1006,កំពុងធ្វើការដើម្បីការពារពួកទេវតា,32,1
1007,និង​ចម្លាក់លៀនស្រាលៗដទៃទៀតដែលតាក់តែងលើប្រាសាទនេះពីការបំផ្លិចបំផ្លាញ។,68,1
1008,ការស្ទាបស្ទង់របស់អង្គការនេះបានរកឃើញថាប្រហែល,43,1
1009,២០,2,5
1010,%នៃពួកទេវតាស្ថិតនៅក្នុងលក្ខ័ណ្ឌមិនសូវល្អ,40,1
1011,ជាចម្បងដោយសារសំណឹកធម្មជាតិនិងការយ៉ាប់យ៉ឺនទៅនៃថ្មប៉ុន្តែដោយឡែកផងដែរ,66,1
1012,ក៏ធ្វើឲ្យមានកិច្ចប្រឹងប្រែងការស្ដារឡើងវិញភ្លាមៗផងដែរ។,53,1
1013,ការងារផ្សេងៗពាក់ព័ន្ធនឹងការជួសជុលផ្នែកដែលបានធ្លាក់មួយចំនួនពីរចនាសម្ព័ន្ធសំណង់,77,1
1014,និងការបង្ការពីការបាក់ធ្លាក់បន្ថែមទៀត,36,1
1015,ទីខាងមុខប៉ែកខាងលិចនៃថ្នាក់លើៗ,29,1
1016,ជាឧទាហរណ៍,9,1
1017,ត្រូវបានទប់ទ្រដោយការដាក់រន្ទាតាំងពីឆ្នាំ,40,1
1018,២០០២,4,1
1019,កាលណោះក្រុមជប៉ុនមួយបានបង្ហើយការស្ដារនូវបណ្ណាល័យខាងជើងនៃវាំងចំណារខាងក្រៅនៅឆ្នាំ,78,1
1020,២០០៥,4,2
1021,។,1,68
1022,មូលនិធិបូជនីយដ្ឋានពិភពលោកបានចាប់ផ្ដើមការងារអភិរក្សលើថែវកូរសមុទ្រទឹកដោះនៅឆ្នាំ,77,1
1023,២០០៨,4,1
1024,បន្ទាប់ពីជាច្រើនឆ្នាំក្នុងការសិក្សាពីស្ថានភាព។,46,1
1025,គម្រោងការនេះបានស្ដារនូវប្រព័ន្ធប្រក់ដំបូលខ្មែរតាមបែបបុរាណ,57,1
1026,និងបានដកចេញនូវស៊ីម៉ង់ដែលបានប្រើនៅក្នុងការប៉ុនប៉ងការស្ដារដំបូងដែលបានជាលទ្ធផលជាអំបិលជ្រៀតចូល​រចនាសម្ព័ន្ធសំណង់ពីក្រោយចម្លាក់ស្រាល,127,1
1027,ដែលធ្វើឲ្យខូចពណ៌និងបំផ្លាញផ្ទៃដែលបានឆ្លាក់ហើយ។,46,1
1028,ដំណាក់កាលសំខាន់នៃការងារនេះបានបញ្ចប់នៅឆ្នាំ,42,1
1029,២០១២,4,2
1030,និងសមាសភាគចុងក្រោយនឹងជាការបន្តុបឡើងនៃត្រីសូល៍លើដំបូលនៃថែវនេះនៅឆ្នាំ,67,1
1031,២០១៣,4,1
1032,។,1,68
1033,អង្គរវត្តបានប្រែក្លាយជាគោលដៅទេសចរណ៍ដ៏សំខាន់មួយ។,47,1
1034,នៅឆ្នាំ,7,6
1035,២០០៤,4,1
1036,និង,3,44
1037,២០០៥,4,2
1038,តួលេខរដ្ឋាភិបាលបានណែនាំថា,25,1
1039,រៀងគ្នាមានទេសចរបរទេស,20,1
1040,៥៦១០០០,6,1
1041,និង,3,44
1042,៦៧៧០០០,6,1
1043,នាក់ដែលបានមកដល់ខេត្តសៀមរាប,26,1
1044,ប្រហែល,6,2
1045,៥០,2,2
1046,%នៃពួកទេសចរបរទេសទាំងអស់នៅកម្ពុជាសម្រាប់ឆ្នាំទាំងពីរ។,52,1
1047,ទីស្ថាននោះត្រូវបានគ្រប់គ្រងដោយសម្ព័ន្ធសូគីម៉ិច,46,1
1048,សូគីម៉ិចគ្រុប,13,1
1049,ឯកជន,4,1
1050,ចាប់តាំងពីឆ្នាំ,15,2
1051,១៩៩០,4,2
1052,ដែលបានជួលប្រាសាទពីរដ្ឋាភិបាលកម្ពុជា។,36,1
1053,លំហូរចូលនៃពួកអ្នកទេសចរណ៍រហូតមកដល់ឥឡូវបានបង្កនូវការបំផ្លិចបំផ្លាញតិចតួចទាក់ទងគ្នា,80,1
1054,ក្រៅពីគំនូរសាធារណ៍ខ្លះៗ,23,1
1055,ខ្សែពួរ,7,1
1056,និងជណ្ដើរឈើត្រូវបានគេដាក់បញ្ចូលដើម្បីការពារចម្លាក់ផុសស្រាលៗនិងកម្រាល,68,1
1057,រៀងមក។,6,1
1058,ទេសចរណ៍ក៏បានផ្ដល់នូវមូលនិធិបន្ថែមខ្លះទៀតចំពោះតំហែទាំក៏ដូចជាក្នុងឆ្នាំ,69,1
1059,២០០០,4,1
1060,ប្រហែល,6,2
1061,២៨,2,1
1062,%នៃប្រាក់ចំណូលសំបុត្រឆ្លងកាត់ទីស្ថានអង្គរទាំងមូលត្រូវបានចំណាយលើប្រាសាទទាំងប៉ុន្មាននេះ,85,1
1063,ទោះបីជាកិច្ចការភាគច្រើនត្រូវបានបន្តដោយពួកក្រុមឧបត្ថម្ភដោយរដ្ឋាភិបាលបរទេសជាជាងដោយពួកអាជ្ញាធរកម្ពុជានោះ។,102,1
1064,ចាប់តាំងពីអង្គរវត្តបានមើលឃើញកំណើនយ៉ាងសំខាន់ខាងទេសចរណ៍ទាំងប៉ុន្មានឆ្នាំនេះ,73,1
1065,អ,1,7
1066,អ,1,7
1067,វ,1,2
1068,វ,1,2
1069,ស,1,7
1070,ប,1,1
1071,រឺ,2,13
1072,យូណេស្កូ,8,1
1073,និងគណៈកម្មាធិការសម្របសម្រួលអន្តរជាតិរបស់ខ្លួនដើម្បីការការពារសុវត្ថិភាពនិងអភិវឌ្ឍន៍នៃស្ថានីយប្រវត្តិសាស្ត្រអង្គរ,111,1
1074,គ,1,10
1075,ស,1,7
1076,អ,1,7
1077,រឺ,2,13
1078,ICC,3,2
1079,នៅក្នុងសមាគមដែលមានពួកអ្នកតំណាងមកពីរាជរដ្ឋាភិបាលនិងអាជ្ញាធរអប្សរា,64,1
1080,បានរៀបចំសិក្ខាសាលាជាច្រើនដើម្បីពិភាក្សានូវគំនិត,47,1
1081,ទេសចរណ៍វប្បធម៌,14,1
1082,។,1,68
1083,ដោយការចង់ចៀសវាងទេសចរណ៍ពាណិជ្ជកម្មនិងចំនួនដ៏ច្រើន,48,1
1084,សិក្ខាសាលាទាំងប៉ុន្មាននេះបានសង្កត់ធ្ងន់លើសារៈសំខាន់នៃការផ្ដល់ទីសំណាក់អាស្រ័យ,76,1
1085,និងសេវាកម្មគុណភាពខ្ពស់ជាលំដាប់ចំពោះរដ្ឋាភិបាលកម្ពុជាដើម្បីរកប្រយោជន៍ខាងសេដ្ឋកិច្ច,81,1
1086,គ្រានោះក៏មានការរួមបញ្ចូលនូវភាពសម្បូរបែបនៃវប្បធម៌ខ្មែរ។,54,1
1087,នៅឆ្នាំ,7,6
1088,២០០១,4,2
1089,អ្វីដែលជំរុញនេះបានហុចលទ្ធផលជាគំនិតនៃ,36,1
1090,ទីក្រុងទេសចរណ៍អង្គរ,19,1
1091,ដែលនឹងត្រូវបានអភិវឌ្ឍជាមួយការគោរពរាប់អានស្ថាបត្យកម្មខ្មែរ,57,1
1092,រួមមានការលំហែ,13,1
1093,និងសុខូបត្ថម្ភវត្ថុទេសចរណ៍,26,1
1094,និងផ្ដល់សណ្ឋាគារប្រណិតនានាដែលមានសមត្ថភាពជាទីស្នាក់អាស្រ័យពួកអ្នកទេសចរណ៍មួយចំនួនធំ។,82,1
1095,ការមើលឃើញនៃការអភិវឌ្ឍដូចជាទីស្នាក់អាស្រ័យទេសចរណ៍ដ៏ច្រើនបានធ្វើអោយមានកង្វល់ទាំងអប្សរា,84,1
1096,និង,3,44
1097,គ,1,10
1098,ស,1,7
1099,អ,1,7
1100,ICC,3,2
1101,អះអាងថាការអភិវឌ្ឍទេសចរណ៍ពីមុនក្នុងតំបន់នេះបានធ្វេសប្រហែសនូវនិយ័តកម្មសំណង់,73,1
1102,និងគម្រោងការទាំងនេះច្រើនទៀតមានសក្ដានុពលបំផ្លិចបំផ្លាញលក្ខណៈពិសេសៗខាងទេសភាព។,75,1
1103,ផងដែរ,5,1
1104,ទំហំធំៗនៃគ្រោងការទាំងនេះបានចាប់ផ្ដើមគំរាមកំហែងគុណភាពទឹកនៅទីប្រជុំជនជិតៗតំបន់,76,1
1105,ទឹកសំអុយ,8,1
1106,និងប្រព័ន្ធអគ្គីសនីជាច្រើន។,27,1
1107,វាត្រូវបានកត់សម្គាល់ថាដូចជាភាពញឹកញាប់នៃទេសចរណ៍ខ្ពស់,51,1
1108,និង,3,44
1109,ការទាមទារកើនឡើងសម្រាប់ទីស្នាក់អាស្រ័យគុណភាពខ្ពស់ក្នុងតំបន់នេះ,61,1
1110,ដូចជាការអភិវឌ្ឍផ្លូវជាន់ខ្ពស់ធំៗ,32,1
1111,មានការប៉ះផ្ទាល់លើតារាងទឹកក្រោមដី,32,1
1112,ដែលកំពុងតែលាតសន្ធឹងជាបន្តបន្ទាប់ដល់ស្ថេរភាពសំណង់នៃប្រាសាទជាច្រើននៅអង្គរវត្ត។,76,1
1113,ពួកអ្នកស្រុកសៀមរាបក៏បានបញ្ចេញការព្រួយបារម្ភលើធម្មជាតិដ៏ស្រស់ស្អាត,65,1
1114,និង,3,44
1115,បរិយាកាសទីប្រជុំជនរបស់ខ្លួនដែលកំពុងសម្របសម្រួលដើម្បីទទួលទេសចរណ៍។,64,1
1116,ដោយហេតុថាបរិយាកាសក្នុងស្រុកដ៏ស្រស់ស្អាតនេះគឺជាសមាសភាគគន្លឹះដើម្បីព្រាងឱ្យដូចទីក្រុងទេសចរណ៍អង្គរ,95,1
1117,ពួកមន្ត្រីរាជការក្នុងតំបន់បន្តពិភាក្សារបៀបចូលរួមទេសចរណ៍អនាគតដោយជោគជ័យដោយគ្មានការលះបង់តម្លៃ,90,1
1118,និងវប្បធម៌ក្នុងតំបន់។,21,1
1119,នៅក្នុងវេទិកាទេសចរណ៍អាស៊ាន,26,1
1120,២០១២,4,2
1121,ភាគីទាំងពីរបានយល់ស្របថាបូរ៉ូប៊ូឌួ,33,1
1122,និង,3,44
1123,អង្គរវត្តបានក្លាយជាស្ថានីយបងប្អូននិងក៏ជាខេត្តដែលនឹងក្លាយជាខេត្តបងប្អូន។,71,1
1124,អាកាសចរណ៍ឥណ្ឌូណេស៊ីពីរកំពុងពិចារណាឱកាសដើម្បីបើកការហោះហើរដោយផ្ទាល់ពីយោខយ៉ាក់ការ៉្ទា,82,1
1125,ឥណ្ឌូណេស៊ី,10,1
1126,ទៅសៀមរាប។,9,1
1127,។,1,68
1128,ប្រាសាទបន្ទាយស្រី,17,4
1129,ស្ថិតនៅក្នុងភូមិបន្ទាយស្រី,26,1
1130,ឃុំបន្ទាយស្រី,13,1
1131,ស្រុកបន្ទាយស្រី,15,1
1132,ខេត្តសៀមរាប,11,3
1133,ដែលចម្ងាយប្រមាណ,15,1
1134,៣៩,2,1
1135,គីឡូម៉ែត្រភាគខាងជើងទីរួមខេត្តសៀមរាប,35,1
1136,ឃ្លាតពីស្រះស្រង់,16,1
1137,២៧,2,2
1138,គីឡូម៉ែត្រនិងមានចំងាយ,21,1
1139,៣២,2,2
1140,គីឡូម៉ែត្រពីប្រាសាទអង្គរវត្តតាមផ្លូវឆ្ពោះទៅ,43,1
1141,ភ្នំគូលេន,9,1
1142,។ប្រាសាទបន្ទាយស្រីគឺជាប្រាង្គប្រាសាទមួយក្នុងចំណោមប្រាសាទជាច្រើននៅ,65,1
1143,ខេត្តសៀមរាប,11,3
1144,អង្គរដ៏ល្បីល្បាញនៅក្នុង,23,1
1145,ប្រទេសកម្ពុជា,13,1
1146,ក៏ដូចជានៅលើ,11,1
1147,ពិភពលោកដែរ,10,1
1148,ដែលបានទាក់ទាញភ្ញៀវទេសចរជាតិ,27,1
1149,និងអន្តរជាតិយ៉ាងច្រើនកុះករមកពីតំបន់ជាច្រើន។,43,1
1150,ក្រុមភ្ញៀវទេសចរដែលបានទៅទស្សនាប្រាង្គ,36,1
1151,ប្រាសាទអង្គរវត្ត,16,6
1152,និងប្រាសាទដទៃទៀតនៅក្នុងទឹកដីនៃ,30,1
1153,ខេត្តសៀមរាប,11,3
1154,តែងតែឆ្លៀតចំណាយពេល,18,1
1155,ធ្វើដំណើរក្នុងរយៈចម្ងាយដ៏ឆ្ងាយពីទីរួមខេត្ត,42,1
1156,។,1,68
1157,ប្រាសាទបន្ទាយស្រីមានឈ្មោះល្បី,29,1
1158,ព្រោះវាត្រូវបានសាងសង់ឡើងពី,26,1
1159,ថ្មផ្កាឈូកជាមួយ,15,1
1160,នឹងក្បាច់ចម្លាក់,16,1
1161,យ៉ាងល្អិតឆ្មាររស់រវើកជាងគេ,26,1
1162,ដោយមានតួប្រាង្គបី,17,1
1163,ដែលមានសភាពល្អឆើតឆាយដូចស្រីគ្រប់លក្ខណ៍។,38,1
1164,ប្រាសាទនេះសង់លើដីរាបស្មើមានរាងតូចច្រឡឹងដោយថ្មភក់ផ្កាឈូក,55,1
1165,និង,3,44
1166,ឥដ្ឋរាង,7,1
1167,៤,1,2
1168,ជ្រុងទ្រវែង,11,1
1169,ហើយមានគូទឹកព័ទ្ធជុំវិញ,22,1
1170,ប្រាង្គទាំងបីនៃ,15,1
1171,ប្រាសាទសង់បែរមុខទៅទិសខាងកើត,27,1
1172,ហើយប្រាង្គកណ្តាលមានតម្កល់,25,1
1173,លិង្គព្រះឥសូរ,13,1
1174,ខាងត្បូងឧទ្ទិសថ្វាយដល់ព្រហ្មញ្ញសាសនា,36,1
1175,និងខាងជើងឧទ្ទិសថ្វាយដល់ព្រះវិស្ណុ។,34,1
1176,ប្រាសាទបន្ទាយស្រីកាលដើមឡើយមានឈ្មោះថា,36,1
1177,ឥសូរបុរៈ,8,2
1178,ប្រែថា,6,2
1179,បុរីនៃឥសូរ,10,1
1180,ប៉ុនែ្តសម័យក្រោយៗមកទៀតគេហៅថា,28,1
1181,ប្រាសាទបន្ទាយស្រី,17,4
1182,ទៅវិញដោយសារតែរាងតូចច្រឡឹង,25,1
1183,និងក្បូរក្បាច់រចនាដ៏ស្រស់ស្អាត,30,1
1184,និងរស់រវើកនៅ,12,1
1185,លើផ្ទាំងថ្មពណ៌ផ្កាឈូក។,22,1
1186,មិនត្រឹមតែប៉ុណ្ណោះ,18,1
1187,ប្រាសាទនេះបានទទួលការកោតសរសើរពីភ្ញៀវទេសចរសឹងគ្រប់រូបថា,53,1
1188,ពិតជាស្រស់ស្អាត,15,1
1189,ទោះបីមានបរិវេណតូចចង្អៀត,23,1
1190,បន្តិចមែនតែទ្រង់ទ្រាយ,21,1
1191,ប្រាសាទលំអទៅដោយចម្លាក់ផ្កាភ្ញី,30,1
1192,នៃរឿងរ៉ាវដែលទាក់ទងទៅនឹងលទ្ធិទេវរាជ,34,1
1193,រឿងរាមកេរ្តិ៏ខែ្មរ,18,1
1194,មិនត្រឹមតែប៉ុណ្ណោះចម្លាក់នីមួយៗ,31,1
1195,សុទ្ធតែមានលក្ខណៈរស់រវើកបើប្រៀបធៀបទៅ,35,1
1196,នឹងប្រាសាទដទៃ។តាមឯកសារប្រវត្តិសាស្រ្តអាណាចក្រខ្មែរបានកត់ត្រាថា,62,1
1197,ប្រាសាទបន្ទាយស្រីបានកសាងឡើងក្នុងគ្រិស្តសករាជ,44,1
1198,៩៦៧,3,2
1199,ក្នុងរជកាលព្រះបាទរាជេន្ទ្រវរ្ម័នទី,34,1
1200,២,1,20
1201,គឺមុនការកសាងប្រាសាទអង្គរវត្តនិងអង្គរធំ,38,1
1202,ដោយព្រហ្មណ៍ម្នាក់ឈ្មោះ,22,1
1203,យជ្ញវរាហៈ,9,2
1204,ដែលជាព្រះគូ្ររបស់ព្រះបាទជ័យវរ្ម័នទី,35,1
1205,៥,1,8
1206,ដើម្បីឧទ្ទិសដល់ព្រហ្មញ្ញសាសនា,29,1
1207,។,1,68
1208,ប្រាសាទបន្ទាយស្រីធ្វើពីថ្មភក់ពណ៌ស៊ីជម្ពូ,40,1
1209,និងរំលេចដោយទេពអប្សរាចំនួន,25,1
1210,១៥០០,4,1
1211,អ្ហេ៎អ្នកអាន,12,1
1212,ចេះតែជឿដែរឬ,11,1
1213,ទៅមើលប្រាសាទហ្នឹងខ្លួនឯងទៅ,26,1
1214,កុំឱ្យគេបោកបាន,14,1
1215,ដែលទេពអប្សរទាំងអស់សុទ្ធតែខុសគ្នា,32,1
1216,ហើយលើសពីនេះសិលាចារឹក,20,1
1217,ផ្កាភ្ញីនៅប្រាសាទបន្ទាយស្រីមានក្បាច់ល្អលើសពីក្បាច់ចម្លាក់នៅលើ,61,1
1218,ប្រាសាទអង្គរវត្តទៅទៀតគឺដូចជាក្បាច់ដែលបានឆ្លាក់លើប្រាក់លើ,56,1
1219,ស្ពាន់ដូច្នេះដែរ,16,1
1220,។,1,68
1221,បើតាមមគ្គុទេសក៏វិញបញ្ជាក់ថា,27,1
1222,ព្រះបាទជ័យវរ្ម័នទី,18,3
1223,៥,1,8
1224,ទ្រង់ជាអ្នកកសាងប្រាសាទនេះដែលតាមសិលាចារឹថា,41,1
1225,ឥសូរបុរៈ,8,2
1226,ឈ្មោះត្រីភុវតមហេស្វរៈប្រែថា,27,1
1227,ស្ពាននព្រះឥសូរជាធំត្រៃភព,24,1
1228,ប្រែថា,6,2
1229,បុរីព្រះឥសូរ,12,1
1230,មិនមែនឈ្មោះបន្ទាយស្រីដូចយើងស្គាល់ទេ,35,1
1231,។,1,68
1232,ប្រាសាទនេះមានកំពែងថ្មបាយក្រៀមព័ទ្ធ,34,1
1233,៣,1,5
1234,ជាន់មានទីលានក្រាលថ្មវែងទៅ,25,1
1235,ទិសខាងកើត,9,1
